winglength_year1,winglength_year5
65,67
67,66
64,67
68,63
67,67
67,67
68,68
67,66
65,64
68,68
64,66
67,67
66,67
70,66
64,66
66,67
70,68
65,67
68,67
65,67
67,66
66,66
63,67
68,68
68,68
69,66
67,66
66,68
67,66
65,68
67,67
67,66
68,68
64,65
66,68
67,67
65,66
66,67
69,67
69,66
70,67
67,68
67,65
68,68
67,68
67,67
66,67
69,66
68,67
68,66
66,66
65,67
67,66
69,67
66,68
67,68
67,70
66,68
67,66
68,66
69,67
64,66
68,67
66,68
63,68
64,67
67,66
68,68
68,68
65,68
66,67
67,66
68,66
68,69
70,67
68,69
63,67
