parent,offspring,foster_parent,foster_offspring
5.506004158,5.524067544,5.54880394,5.951852151
5.525793486,5.53044421,5.742912003,5.80466439
5.544274428,5.439691175,5.772640029,6.032003507
5.563180596,5.442703103,5.797576273,5.46951073
5.744026991,5.471707615,5.835664011,5.729233369
5.761155648,5.807805027,5.846663593,6.031231999
5.762774775,5.478078828,5.854246118,6.082460016
5.791512524,5.810049551,5.868165552,5.837372387
5.826951074,5.803632904,5.873378743,5.67577775
5.829399132,5.53068311,5.877674181,5.528070164
5.856324324,5.852214689,5.87775708,6.194762649
5.845203049,5.804719526,5.891677208,5.912013898
5.847410949,5.532983488,5.899778313,5.775832793
5.867669402,5.670991751,5.9152154,5.833219
5.876501003,5.745294174,5.906375105,5.706985548
5.885332604,6.03107965,5.930962982,6.030967269
5.885716266,5.877754087,5.944444763,5.799724263
5.88700596,5.674334569,5.972566293,5.877610076
5.912491436,5.756099207,5.980089068,5.501008892
5.904080388,6.037120702,5.98055296,5.446501615
5.905552322,5.886575045,6.05434727,5.738408982
5.936236473,5.777637148,6.062399894,5.806875372
5.937304029,5.733621671,6.099148738,6.223918018
5.958929277,5.503627764,6.105077109,5.527334435
5.962303534,5.958917279,6.116866223,5.833196379
5.977677062,5.509428699,,
5.982092862,5.963963296,,
6.044301419,5.833005022,,
6.05313302,6.235547393,,
6.05313302,6.039341784,,
6.058306306,5.716576577,,
6.062313236,5.834787648,,
6.08161821,6.22150423,,
6.08782675,6.047458365,,
6.087908524,6.201372722,,
6.077768538,5.722666391,,
6.093223839,6.09257252,,
6.113094941,6.04591377,,
6.113094941,6.090452474,,
